Student_ID,Name,Department,Year,Gender,Attendance,Marks,Fees,Placement_Status,Company,CGPA,City
ST0001,Student_1,Electronics,2,Male,76,96,90001,Not Placed,TCS,8.29,Lucknow
ST0002,Student_2,Computer Science,1,Male,65,60,107895,Placed,,7.37,Delhi
ST0003,Student_3,Electrical,1,Female,80,74,65113,Placed,Infosys,8.21,Kolkata
ST0004,Student_4,Mechanical,4,Female,100,85,84066,Placed,Accenture,8.36,Bhopal
ST0005,Student_5,Electronics,4,Male,100,81,93542,Not Placed,TCS,7.95,Jaipur
ST0006,Student_6,IT,4,Male,66,73,53627,Placed,Capgemini,8.85,Patna
ST0007,Student_7,Mechanical,4,Male,84,81,84576,Placed,Cognizant,6.63,Lucknow
ST0008,Student_8,Mechanical,3,Female,94,61,55429,Not Placed,Wipro,7.95,Lucknow
ST0009,Student_9,Civil,1,Male,90,63,81070,Not Placed,Accenture,9.23,Lucknow
ST0010,Student_10,Electrical,1,Male,78,88,114730,Placed,Wipro,7.33,Kolkata
ST0011,Student_11,Electrical,2,Male,65,48,112728,Not Placed,,9.49,Bhopal
ST0012,Student_12,Electrical,3,Female,61,66,111145,Not Placed,Infosys,7.5,Bhopal
ST0013,Student_13,Computer Science,3,Male,91,46,57477,Placed,Cognizant,9.36,Jaipur
ST0014,Student_14,Computer Science,1,Male,82,57,68916,Placed,Infosys,9.63,Patna
ST0015,Student_15,Civil,4,Female,73,59,118729,Not Placed,Infosys,8.84,Lucknow
ST0016,Student_16,Electronics,1,Male,90,84,110731,Placed,Capgemini,5.93,Bhopal
ST0017,Student_17,Mechanical,3,Male,61,73,109164,Not Placed,Infosys,9.28,Patna
ST0018,Student_18,Electrical,2,Male,97,64,78118,Placed,Capgemini,8.36,Delhi
ST0019,Student_19,Electronics,4,Female,81,51,114619,Placed,Capgemini,7.61,Delhi
ST0020,Student_20,Electronics,3,Female,66,84,110050,Not Placed,Capgemini,6.65,Lucknow
ST0021,Student_21,IT,1,Female,60,65,99262,Placed,Capgemini,7.8,Delhi
ST0022,Student_22,Computer Science,2,Female,82,76,61315,Not Placed,Wipro,9.01,Lucknow
ST0023,Student_23,Electronics,3,Female,60,83,61220,Placed,TCS,7.69,Jaipur
ST0024,Student_24,IT,4,Female,70,69,96389,Placed,Infosys,8.22,Patna
ST0025,Student_25,IT,1,Male,89,88,54661,Not Placed,Accenture,6.7,Delhi
ST0026,Student_26,Civil,2,Female,79,71,112313,Not Placed,,8.14,Kolkata
ST0027,Student_27,Mechanical,3,Male,72,68,97269,Placed,Capgemini,7.05,Lucknow
ST0028,Student_28,Electronics,2,Female,81,100,72240,Not Placed,Wipro,8.32,Jaipur
ST0029,Student_29,Electrical,3,Male,85,68,95090,Placed,Cognizant,7.84,Lucknow
ST0030,Student_30,Civil,4,Female,80,63,108837,Placed,Capgemini,5.72,Kolkata
ST0031,Student_31,Electronics,4,Female,92,90,64556,Not Placed,TCS,6.91,Kolkata
ST0032,Student_32,Mechanical,1,Female,81,83,81400,Not Placed,Accenture,9.58,Kolkata
ST0033,Student_33,Electrical,4,Female,91,53,90749,Not Placed,Cognizant,8.3,Kolkata
ST0034,Student_34,Computer Science,4,Female,71,88,54620,Not Placed,Capgemini,5.56,Delhi
ST0035,Student_35,IT,3,Male,76,75,114827,Placed,Wipro,9.65,Lucknow
ST0036,Student_36,IT,2,Male,69,60,93227,Placed,Wipro,6.67,Kolkata
ST0037,Student_37,IT,1,Female,62,60,65765,Not Placed,TCS,8.56,Delhi
ST0038,Student_38,Mechanical,4,Female,62,46,97126,Placed,,5.95,Bhopal
ST0039,Student_39,Electronics,4,Male,92,56,74959,Placed,Cognizant,6.69,Bhopal
ST0040,Student_40,Electronics,4,Male,97,50,116974,Placed,Wipro,6.67,Kolkata
ST0041,Student_41,Computer Science,4,Female,80,56,52150,Not Placed,Cognizant,8.5,Bhopal
ST0042,Student_42,IT,2,Female,62,57,58872,Placed,,8.56,Delhi
ST0043,Student_43,Electrical,2,Female,86,70,91576,Placed,TCS,6.91,Kolkata
ST0044,Student_44,Civil,2,Male,97,88,55553,Placed,Wipro,9.68,Delhi
ST0045,Student_45,Electrical,1,Female,84,61,76345,Not Placed,TCS,7.51,Patna
ST0046,Student_46,Civil,2,Male,96,62,103165,Not Placed,Cognizant,8.84,Patna
ST0047,Student_47,Mechanical,4,Male,66,95,50195,Not Placed,Wipro,7.46,Patna
